[[34m2025-06-21 03:59:35[0m] Experiment directory created at logs/nwm_cdit_wuhan_union
[[34m2025-06-21 03:59:57[0m] CDiT Parameters: 1,014,615,968
[[34m2025-06-21 04:00:16[0m] Dataset contains 36,358 images
[[34m2025-06-21 04:00:16[0m] Training for 300 epochs...
[[34m2025-06-21 04:00:16[0m] Beginning epoch 0...
[[34m2025-06-21 04:01:20[0m] (step=0000100) Train Loss: 0.3421, Train Steps/Sec: 1.56, Samples/Sec: 18.74
[[34m2025-06-21 13:01:21[0m] (step=0056900) Train Loss: 0.1119, Train Steps/Sec: 1.81, Samples/Sec: 21.76
[[34m2025-06-21 13:02:17[0m] (step=0057000) Train Loss: 0.1019, Train Steps/Sec: 1.80, Samples/Sec: 21.65
[[34m2025-06-21 13:03:11[0m] (step=0057100) Train Loss: 0.1156, Train Steps/Sec: 1.85, Samples/Sec: 22.24
[[34m2025-06-21 13:04:05[0m] (step=0057200) Train Loss: 0.1046, Train Steps/Sec: 1.83, Samples/Sec: 21.91
[[34m2025-06-21 13:05:00[0m] (step=0057300) Train Loss: 0.1056, Train Steps/Sec: 1.84, Samples/Sec: 22.11
[[34m2025-06-21 13:05:55[0m] (step=0057400) Train Loss: 0.1100, Train Steps/Sec: 1.82, Samples/Sec: 21.78
[[34m2025-06-21 13:06:48[0m] (step=0057500) Train Loss: 0.1085, Train Steps/Sec: 1.86, Samples/Sec: 22.33
[[34m2025-06-21 13:07:43[0m] (step=0057600) Train Loss: 0.1069, Train Steps/Sec: 1.82, Samples/Sec: 21.84
[[34m2025-06-21 13:08:37[0m] (step=0057700) Train Loss: 0.1038, Train Steps/Sec: 1.86, Samples/Sec: 22.37
[[34m2025-06-21 13:09:31[0m] (step=0057800) Train Loss: 0.1088, Train Steps/Sec: 1.84, Samples/Sec: 22.03
[[34m2025-06-21 13:10:27[0m] (step=0057900) Train Loss: 0.1016, Train Steps/Sec: 1.81, Samples/Sec: 21.75
[[34m2025-06-21 13:11:22[0m] (step=0058000) Train Loss: 0.1087, Train Steps/Sec: 1.80, Samples/Sec: 21.59
[[34m2025-06-21 13:11:37[0m] Saved checkpoint to logs/nwm_cdit_wuhan_union/checkpoints/latest.pth.tar
[[34m2025-06-21 13:12:31[0m] (step=0058100) Train Loss: 0.1075, Train Steps/Sec: 1.46, Samples/Sec: 17.48
[[34m2025-06-21 13:13:26[0m] (step=0058200) Train Loss: 0.1060, Train Steps/Sec: 1.82, Samples/Sec: 21.84
[[34m2025-06-21 13:14:20[0m] (step=0058300) Train Loss: 0.1084, Train Steps/Sec: 1.85, Samples/Sec: 22.23
[[34m2025-06-21 13:15:14[0m] (step=0058400) Train Loss: 0.1027, Train Steps/Sec: 1.85, Samples/Sec: 22.15
[[34m2025-06-21 13:16:09[0m] (step=0058500) Train Loss: 0.1034, Train Steps/Sec: 1.81, Samples/Sec: 21.78
[[34m2025-06-21 13:17:04[0m] (step=0058600) Train Loss: 0.1147, Train Steps/Sec: 1.82, Samples/Sec: 21.84
[[34m2025-06-21 13:17:59[0m] (step=0058700) Train Loss: 0.1202, Train Steps/Sec: 1.82, Samples/Sec: 21.79
[[34m2025-06-21 13:18:55[0m] (step=0058800) Train Loss: 0.0963, Train Steps/Sec: 1.79, Samples/Sec: 21.52
[[34m2025-06-21 13:19:49[0m] (step=0058900) Train Loss: 0.1112, Train Steps/Sec: 1.84, Samples/Sec: 22.06
[[34m2025-06-21 13:20:43[0m] (step=0059000) Train Loss: 0.1144, Train Steps/Sec: 1.84, Samples/Sec: 22.13
[[34m2025-06-21 13:21:38[0m] (step=0059100) Train Loss: 0.1040, Train Steps/Sec: 1.84, Samples/Sec: 22.02
[[34m2025-06-21 13:22:32[0m] (step=0059200) Train Loss: 0.1056, Train Steps/Sec: 1.84, Samples/Sec: 22.11
[[34m2025-06-21 13:23:28[0m] (step=0059300) Train Loss: 0.1097, Train Steps/Sec: 1.81, Samples/Sec: 21.69
[[34m2025-06-21 13:24:22[0m] (step=0059400) Train Loss: 0.1161, Train Steps/Sec: 1.84, Samples/Sec: 22.05
[[34m2025-06-21 13:25:16[0m] (step=0059500) Train Loss: 0.1079, Train Steps/Sec: 1.84, Samples/Sec: 22.05
[[34m2025-06-21 13:26:13[0m] (step=0059600) Train Loss: 0.1274, Train Steps/Sec: 1.76, Samples/Sec: 21.17
[[34m2025-06-21 13:27:09[0m] (step=0059700) Train Loss: 0.1131, Train Steps/Sec: 1.79, Samples/Sec: 21.46
[[34m2025-06-21 13:28:06[0m] (step=0059800) Train Loss: 0.1060, Train Steps/Sec: 1.75, Samples/Sec: 20.94
[[34m2025-06-21 13:29:02[0m] (step=0059900) Train Loss: 0.1086, Train Steps/Sec: 1.80, Samples/Sec: 21.59
[[34m2025-06-21 13:29:57[0m] (step=0060000) Train Loss: 0.1107, Train Steps/Sec: 1.81, Samples/Sec: 21.68
[[34m2025-06-21 13:30:35[0m] Saved checkpoint to logs/nwm_cdit_wuhan_union/checkpoints/0060000.pth.tar
Using cache found in ./models/facebookresearch_dino_main
[[34m2025-06-21 13:30:41[0m] Already found a `peft_config` attribute in the model. This will lead to having multiple adapters in the model. Make sure to know what you are doing!
[2025-06-21 13:32:25,537] torch.distributed.elastic.agent.server.api: [WARNING] Received Signals.SIGINT death signal, shutting down workers
[2025-06-21 13:32:25,540] torch.distributed.elastic.multiprocessing.api: [WARNING] Sending process 2755375 closing signal SIGINT
Traceback (most recent call last):
  File "train_v1.py", line 404, in evaluate
    samples = model_forward_wrapper((model, diffusion, vae), x, y, num_timesteps=None, latent_size=latent_size, device=device, num_cond=num_cond, num_goals=num_goals, rel_t=rel_t, x_supervised=aug)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/utils/_contextlib.py", line 115, in decorate_context
    return func(*args, **kwargs)
  File "/data1/tpz/nwm-main/isolated_nwm_infer_v1.py", line 92, in model_forward_wrapper
    samples = diffusion.p_sample_loop(
  File "/data1/tpz/nwm-main/diffusion/gaussian_diffusion.py", line 456, in p_sample_loop
    for sample in self.p_sample_loop_progressive(
  File "/data1/tpz/nwm-main/diffusion/gaussian_diffusion.py", line 507, in p_sample_loop_progressive
    out = self.p_sample(
  File "/data1/tpz/nwm-main/diffusion/gaussian_diffusion.py", line 408, in p_sample
    out = self.p_mean_variance(
  File "/data1/tpz/nwm-main/diffusion/respace.py", line 98, in p_mean_variance
    return super().p_mean_variance(self._wrap_model(model), *args, **kwargs)
  File "/data1/tpz/nwm-main/diffusion/gaussian_diffusion.py", line 285, in p_mean_variance
    model_output = model(x, t, **model_kwargs)
  File "/data1/tpz/nwm-main/diffusion/respace.py", line 135, in __call__
    return self.model(x, new_ts, **kwargs)
  File "/data1/tpz/nwm-main/models_tpz_v1.py", line 262, in forward
    x = block(x, c, x_cond)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1518, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1527, in _call_impl
    return forward_call(*args, **kwargs)
  File "/data1/tpz/nwm-main/models_tpz_v1.py", line 123, in forward
    x = x + gate_ca_x.unsqueeze(1) * self.cttn(query=modulate(self.norm2(x), shift_ca_x, scale_ca_x), key=x_cond_norm, value=x_cond_norm, need_weights=False)[0]
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1518, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/nn/modules/module.py", line 1527, in _call_impl
    return forward_call(*args, **kwargs)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/nn/modules/activation.py", line 1241, in forward
    attn_output, attn_output_weights = F.multi_head_attention_forward(
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/nn/functional.py", line 5443, in multi_head_attention_forward
    attn_output = linear(attn_output, out_proj_weight, out_proj_bias)
KeyboardInterrupt

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "train_v1.py", line 446, in <module>
    main(args)
  File "train_v1.py", line 359, in main
    sim_score = evaluate(ema, tokenizer, diffusion, test_dataset, rank, config["batch_size"], config["num_workers"], latent_size, device, save_dir, args.global_seed, bfloat_enable, num_cond)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/utils/_contextlib.py", line 115, in decorate_context
    return func(*args, **kwargs)
  File "train_v1.py", line 413, in evaluate
    n_samples += len(res)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/amp/autocast_mode.py", line 406, in __exit__
    torch.clear_autocast_cache()
KeyboardInterrupt
Traceback (most recent call last):
  File "/data1/tpz/anaconda3/envs/nwm2/bin/torchrun", line 8, in <module>
    sys.exit(main())
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/elastic/multiprocessing/errors/__init__.py", line 346, in wrapper
    return f(*args, **kwargs)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/run.py", line 806, in main
    run(args)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/run.py", line 797, in run
    elastic_launch(
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/launcher/api.py", line 134, in __call__
    return launch_agent(self._config, self._entrypoint, list(args))
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/launcher/api.py", line 255, in launch_agent
    result = agent.run()
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/elastic/metrics/api.py", line 124, in wrapper
    result = f(*args, **kwargs)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/elastic/agent/server/api.py", line 736, in run
    result = self._invoke_run(role)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/elastic/agent/server/api.py", line 877, in _invoke_run
    time.sleep(monitor_interval)
  File "/data1/zwc/miniconda3/envs/nwm2/lib/python3.8/site-packages/torch/distributed/elastic/multiprocessing/api.py", line 62, in _terminate_process_handler
    raise SignalException(f"Process {os.getpid()} got signal: {sigval}", sigval=sigval)
torch.distributed.elastic.multiprocessing.api.SignalException: Process 2755297 got signal: 2
